Median House Price,Median Income,Median Age,Total Rooms,Total Bedrooms,Population,Total Houses,Latitude,Longitude,Rate
91700,2.96,20,873,175,422,159,34.9,-118,Cheap
130000,2.81,11,7350,1480,3570,1310,34.9,-118,Cheap
54900,3.43,28,2970,648,1640,570,35,-118,Cheap
64400,4.23,33,1590,307,853,272,35,-118,Cheap
39800,1.91,36,1180,316,672,241,35,-118,Cheap
83500,2.61,10,4600,1010,2230,821,34.9,-118,Cheap
87900,3.02,9,1510,293,761,278,34.9,-118,Cheap
111000,5.06,2,2100,389,923,338,34.9,-118,Cheap
83300,2.74,21,2370,540,1490,554,34.9,-118,Cheap
73300,2.04,15,1070,296,569,263,35.1,-118,Cheap
68900,2.59,44,1300,307,776,278,35,-118,Cheap
83200,3.75,14,2990,573,1630,526,35,-118,Cheap
56800,2.16,29,1670,368,821,337,35,-118,Cheap
137000,4.63,7,4370,727,1930,654,35.2,-119,Cheap
163000,4.06,7,9660,1690,3620,1370,35.2,-119,Cheap
79000,2.39,10,2940,605,1170,446,35.3,-118,Cheap
116000,3.69,4,8420,1660,4630,1470,35.1,-118,Cheap
137000,3.49,6,3660,646,1240,482,35.1,-119,Cheap
121000,3.89,11,4030,766,1540,564,35,-119,Cheap
94900,2.64,19,3110,640,1460,620,35.1,-118,Cheap
85500,3.24,16,4080,812,2030,668,35.1,-118,Cheap
99800,3.26,8,1970,376,930,360,35.1,-118,Cheap
80000,1.79,34,1170,290,602,266,35.1,-118,Cheap
67900,1.86,21,1900,447,1130,391,35.1,-118,Cheap
82200,2.78,28,1790,358,1230,351,35.3,-119,Cheap
94500,4,24,1340,214,667,184,35.3,-119,Cheap
81300,2.63,33,1190,217,717,196,35.3,-119,Cheap
106000,1.92,29,1300,262,909,253,35.1,-119,Cheap
68000,1.77,26,1640,352,1220,395,35.2,-119,Cheap
53900,1.97,31,2360,580,2300,574,35.2,-119,Cheap
53500,2.14,17,1960,484,1760,453,35.2,-119,Cheap
57300,2.11,34,2190,469,1910,455,35.2,-119,Cheap
51200,1.99,17,2780,678,2570,641,35.2,-119,Cheap
61400,2.09,29,1400,317,1340,306,35.3,-119,Cheap
54600,1.91,31,6150,1490,5670,1460,35.3,-119,Cheap
63700,2.02,20,3820,924,3450,920,35.3,-119,Cheap
45500,1.77,29,2890,753,2950,699,35.2,-119,Cheap
75000,2.29,38,1020,202,540,187,36.4,-120,Cheap
94200,3.49,30,1860,337,1120,347,36.4,-120,Cheap
126000,3.04,26,1910,339,1000,311,36.4,-120,Cheap
103000,3.32,25,1690,302,879,277,36.4,-120,Cheap
100000,3.14,41,831,149,443,146,36.4,-120,Cheap
101000,2.72,25,1550,269,819,272,36.4,-120,Cheap
83900,2.92,26,1410,265,779,249,36.3,-120,Cheap
106000,2.03,25,8360,1640,7680,1580,36.3,-120,Cheap
75800,3.07,19,3250,614,1970,607,36.3,-120,Cheap
92500,3.99,14,3400,618,1870,612,36.3,-120,Cheap
126000,3.17,14,1290,291,737,269,36.3,-120,Cheap
69100,2.62,14,3680,863,2190,785,36.3,-120,Cheap
72300,2.29,25,4980,1030,2410,961,36.3,-120,Cheap
62000,2.1,24,2200,471,1050,439,36.3,-120,Cheap
66600,2.17,30,1850,391,1260,352,36.3,-120,Cheap
93100,4.34,16,1720,277,903,289,36.3,-120,Cheap
104000,4.29,6,1270,227,764,246,36.3,-120,Cheap
87500,2.07,18,942,193,424,174,36.3,-120,Cheap
113000,3.24,16,1010,212,515,200,36.3,-120,Cheap
101000,4.57,29,1870,315,1070,309,36.3,-120,Cheap
108000,5.17,7,479,84,327,103,36.3,-120,Cheap
56100,3.11,24,544,112,442,106,36.3,-120,Cheap
113000,3.2,33,1290,214,580,210,36.3,-120,Cheap
52600,2.27,40,1190,221,676,256,36.3,-120,Cheap
43500,2.65,40,1180,244,586,187,36.3,-120,Cheap
60200,2.83,20,2440,433,1580,400,36.3,-120,Cheap
62000,2.29,10,956,201,693,220,36.3,-120,Cheap
119000,4.94,10,1090,164,470,158,36.4,-120,Cheap
148000,3.55,4,3730,783,1480,600,36.4,-120,Cheap
108000,4.39,21,1750,266,837,292,36.4,-120,Cheap
85500,2.88,38,3150,568,1380,537,36.4,-120,Cheap
91900,3.11,15,1720,374,947,391,36.4,-120,Cheap
97400,5.21,13,2360,340,1060,312,36.4,-120,Cheap
90400,3.81,23,3180,563,1530,585,36.4,-120,Cheap
90600,4.24,4,1680,343,920,324,36.4,-120,Cheap
80300,2.61,10,3670,734,1860,718,36.4,-120,Cheap
70200,2.81,30,1770,310,746,298,36.4,-120,Cheap
71400,3.55,26,1460,261,699,219,36.3,-120,Cheap
67500,1.84,14,2930,600,1630,559,36.3,-120,Cheap
61500,3.01,32,1490,284,926,264,36.3,-120,Cheap
61000,2.23,36,1520,287,749,255,36.3,-120,Cheap
59700,2.64,32,1340,276,859,286,36.3,-120,Cheap
67200,1.85,46,1730,337,752,323,36.3,-120,Cheap
76100,3.08,47,1870,357,832,315,36.3,-120,Cheap
56700,1.86,32,2960,670,1500,627,36.3,-120,Cheap
51700,1.45,41,3100,766,1850,721,36.3,-120,Cheap
59100,2.35,52,1260,257,624,243,36.3,-120,Cheap
53800,1.39,47,1060,268,693,241,36.3,-120,Cheap
121000,1.76,26,592,121,268,116,36.3,-120,Cheap
81700,2.94,19,1240,244,850,237,36.3,-120,Cheap
92800,4.09,16,2050,373,1050,388,36.3,-120,Cheap
58100,1.42,10,1620,409,988,395,36.3,-120,Cheap
56800,2.33,24,2650,568,1530,445,36.3,-120,Cheap
54400,2.58,28,1330,276,873,240,36.3,-120,Cheap
60600,2.99,12,2740,535,1860,498,36.3,-120,Cheap
70500,3.37,18,1150,202,717,212,36.3,-120,Cheap
50400,1.54,11,1290,314,713,290,36.3,-120,Cheap
43100,1.36,32,2210,523,1770,479,36.3,-120,Cheap
53400,2.35,28,941,175,588,180,36.3,-120,Cheap
50100,1.59,27,1510,314,1070,284,36.3,-120,Cheap
46300,1.88,25,1850,371,1460,353,36.3,-120,Cheap
97400,2.63,20,2670,452,1390,449,36.3,-120,Cheap
94100,2.4,35,2010,349,970,300,36.3,-120,Cheap
100000,2.43,23,207,45,171,50,36.2,-120,Cheap
50000,2.25,32,752,159,524,155,36.1,-120,Cheap
53200,2.39,6,2020,413,992,319,36.1,-120,Cheap
46500,1.4,21,1380,327,1470,355,36.1,-120,Cheap
43800,1.53,29,424,78,284,73,36.1,-120,Cheap
50800,2.13,25,1090,262,893,252,36.1,-120,Cheap
64700,3.28,35,1650,285,792,265,36.1,-120,Cheap
52300,1.85,14,1270,290,1080,279,36.1,-120,Cheap
42100,1.66,37,766,189,639,190,36.1,-120,Cheap
61600,2.22,21,2000,385,1400,398,36.1,-120,Cheap
54800,1.57,16,1460,400,1200,384,36.1,-120,Cheap
68800,3.53,36,1730,317,737,278,36.1,-120,Cheap
60700,2.06,37,1680,316,707,274,36.1,-120,Cheap
61300,2.47,21,1550,308,1140,306,36.1,-120,Cheap
138000,1.88,43,187,38,106,40,36.2,-120,Cheap
52200,2.02,33,1290,272,694,229,36.2,-120,Cheap
100000,0.5,23,333,92,198,55,36.1,-120,Cheap
47700,2.1,25,1050,270,1510,286,36,-120,Cheap
225000,3.05,20,156,39,171,37,36,-120,Expensive
60900,2.97,27,2530,518,1370,461,36,-120,Cheap
48500,2.22,18,1170,334,1120,308,36,-120,Cheap
43900,2.03,33,1730,420,1370,388,36,-120,Cheap
56200,2.25,7,2050,482,1390,422,36,-120,Cheap
71300,2.38,26,48,8,13,8,35.9,-120,Cheap
62500,3.13,16,259,53,131,38,35.9,-120,Cheap
73500,0.5,16,411,114,26,19,39.4,-123,Cheap
98900,3.95,39,1300,240,534,179,39.2,-123,Cheap
72500,2.02,43,89,18,86,27,39.2,-123,Cheap
68300,4.35,44,202,42,142,39,39.2,-123,Cheap
73600,2.58,45,1310,277,649,232,39.2,-123,Cheap
106000,2.22,20,1130,231,521,196,39.1,-123,Cheap
92600,3.83,24,1100,193,353,145,39.1,-123,Cheap
138000,3.25,17,380,69,225,72,39.1,-123,Cheap
71100,2.26,10,1590,333,585,254,39.1,-123,Cheap
143000,1.91,15,2480,544,835,380,39.1,-123,Cheap
166000,4,24,341,64,146,57,39.1,-123,Cheap
141000,2.89,18,681,120,272,105,39.1,-123,Cheap
164000,3.45,14,1580,301,851,273,39,-123,Cheap
102000,2.44,21,2200,484,1000,381,39.1,-123,Cheap
100000,1.94,21,1240,238,601,261,39.1,-123,Cheap
119000,3.57,16,1550,295,605,250,39,-123,Cheap
93500,3.22,20,1130,229,621,210,39,-123,Cheap
80700,2.55,38,3130,624,1590,568,39,-123,Cheap
95000,3.77,27,789,208,295,108,39,-123,Cheap
95800,1.35,14,2370,557,723,427,39,-123,Cheap
108000,3.39,13,532,111,214,62,39.1,-123,Cheap
86500,1.64,15,1930,427,810,321,39.1,-123,Cheap
78800,2.04,24,3130,674,1020,448,39.1,-123,Cheap
94700,1.47,26,2190,495,679,371,39.1,-123,Cheap
66800,1.63,20,1800,395,685,331,39.1,-123,Cheap
65000,1.47,17,1880,467,798,342,39.1,-123,Cheap
89000,1.52,23,952,200,321,128,39.1,-123,Cheap
109000,2.62,15,1600,323,661,269,39,-123,Cheap
69700,1.3,11,1260,271,370,177,39.1,-123,Cheap
113000,2.76,9,254,50,66,29,39,-123,Cheap
112000,1.98,23,1620,395,425,244,39,-123,Cheap
72400,2.11,27,2200,527,744,316,39,-123,Cheap
53300,1.17,27,1450,329,594,255,39,-123,Cheap
109000,1.74,16,3720,810,943,510,39,-123,Cheap
163000,2.31,18,793,148,186,59,39,-123,Cheap
135000,2.36,18,1180,224,181,105,39,-123,Cheap
75900,1.86,16,4280,951,1600,666,39,-123,Cheap
77800,1.66,16,975,219,337,155,39,-123,Cheap
110000,2.18,27,2300,508,526,254,39,-123,Cheap
60000,1.19,32,1860,472,703,292,39,-123,Cheap
64000,1.75,17,1710,459,633,312,39,-123,Cheap
58800,1.69,19,2230,538,832,359,39,-123,Cheap
57500,2.32,14,1730,400,638,282,38.9,-123,Cheap
71300,4.39,14,231,36,108,31,38.9,-123,Cheap
62000,1.48,16,1660,390,572,301,38.9,-123,Cheap
69000,2.06,16,1910,446,828,332,39,-123,Cheap
60200,2.31,20,2510,577,1070,457,39,-123,Cheap
63200,1.68,27,2140,580,898,367,39,-123,Cheap
58200,1.73,29,883,187,326,136,39,-123,Cheap
68900,1.2,28,1500,370,522,268,39,-123,Cheap
77300,1.71,11,686,127,246,86,39,-123,Cheap
49000,1.76,25,661,144,192,93,38.9,-123,Cheap
81800,1.13,18,3840,969,1830,845,38.9,-123,Cheap
55000,1.55,13,524,129,215,90,38.9,-123,Cheap
114000,3.24,17,2550,540,723,319,39,-123,Cheap
201000,3.42,17,4160,967,889,414,39,-123,Expensive
96900,1.88,23,642,203,265,84,39,-123,Cheap
97300,3.05,11,5180,971,2140,792,39,-123,Cheap
93400,3.13,9,1250,234,517,187,38.9,-123,Cheap
55000,1.38,20,41,18,94,10,38.9,-123,Cheap
137000,2.53,20,1590,327,647,253,39,-123,Cheap
88500,1.87,20,1580,318,753,252,39,-123,Cheap
114000,1.68,15,289,49,191,54,39,-123,Cheap
77800,1.62,17,1380,347,719,296,39,-123,Cheap
75000,1.72,21,939,176,556,178,39,-123,Cheap
134000,2.99,20,2070,384,904,333,39,-123,Cheap
106000,2.72,20,1210,247,504,223,38.9,-123,Cheap
93800,1.87,15,1320,296,567,276,39,-123,Cheap
119000,4.01,26,712,140,293,100,38.9,-123,Cheap
100000,3.45,11,640,134,268,90,38.9,-123,Cheap
96600,1.99,29,2780,617,890,310,38.9,-123,Cheap
90800,3.35,12,4520,909,1550,528,38.8,-123,Cheap
113000,2.2,10,304,63,161,61,38.9,-122,Cheap
75000,2.2,15,1410,329,599,273,38.9,-123,Cheap
91700,2.96,23,292,56,92,41,38.9,-123,Cheap
84700,1.84,13,520,115,249,109,38.9,-123,Cheap
113000,4.13,30,70,38,20,13,38.9,-123,Cheap
73500,1.57,16,1180,240,519,199,38.9,-123,Cheap
109000,2.56,12,2390,443,877,341,38.8,-123,Cheap
133000,4.04,9,2590,482,1050,374,38.8,-123,Cheap
132000,3.88,7,3640,637,1030,421,38.8,-123,Cheap
103000,3.38,15,764,145,366,143,38.8,-123,Cheap
83300,3.44,22,852,176,461,142,38.8,-123,Cheap
67900,2.31,29,994,226,302,117,38.8,-123,Cheap
85300,2.15,21,1430,323,727,287,38.7,-123,Cheap
89600,2.63,20,531,126,231,96,38.7,-123,Cheap
87500,0.54,26,102,17,43,13,38.7,-123,Cheap
48100,2.72,26,1710,308,761,250,41.1,-121,Cheap
59200,2.5,29,779,136,364,123,41.1,-121,Cheap
80800,3.66,17,976,202,511,175,40.9,-121,Cheap
40000,1.68,27,777,185,318,115,41,-120,Cheap
200000,3.63,33,240,49,63,22,40.6,-120,Expensive
118000,1.72,11,2640,667,280,132,40.6,-121,Cheap
78300,3.3,17,890,167,406,154,40.5,-121,Cheap
64100,2.5,19,683,139,302,111,40.3,-121,Cheap
49500,2.18,52,5490,1040,1980,754,40.4,-121,Cheap
85900,3.6,15,5340,1000,2500,902,40.5,-121,Cheap
71500,2.69,15,2050,461,1120,402,40.4,-121,Cheap
66400,2.51,35,1450,325,717,297,40.4,-121,Cheap
64300,2.19,39,3240,652,1470,621,40.4,-121,Cheap
70200,2.3,52,2080,478,1050,419,40.4,-121,Cheap
59300,1.51,50,1740,424,987,383,40.4,-121,Cheap
106000,3.55,19,4460,828,2230,777,40.4,-121,Cheap
61800,2.27,16,3410,667,1870,590,40.4,-121,Cheap
85600,2.48,26,1650,313,762,280,40.4,-120,Cheap
70000,1.73,19,689,143,355,127,40.5,-120,Cheap
67500,5.52,36,36,8,4200,7,40.4,-121,Cheap
91000,3.4,17,3390,623,1530,571,40.3,-121,Cheap
85100,3.46,16,1820,360,969,359,40.3,-120,Cheap
73500,2.12,21,789,141,406,146,40.2,-120,Cheap
47600,2.68,26,2400,518,1040,443,40.3,-120,Cheap
60700,1.73,19,2340,518,1030,383,39.9,-120,Cheap
276000,6.19,27,5210,859,2360,888,34.3,-118,Expensive
213000,4.98,32,1080,207,486,167,34.3,-118,Expensive
191000,4.01,33,3180,713,1850,612,34.3,-118,Expensive
185000,3.56,37,2820,633,1620,573,34.3,-118,Expensive
192000,4.81,42,2190,423,1150,439,34.3,-118,Expensive
198000,3.52,35,2050,450,1170,407,34.3,-118,Expensive
162000,2.6,29,2560,787,1890,769,34.3,-118,Cheap
175000,2.47,19,1990,594,1400,527,34.3,-118,Cheap
162000,3.08,8,5570,1510,3570,1370,34.3,-118,Cheap
258000,5.02,37,2490,454,1220,431,34.3,-118,Expensive
262000,4.45,35,2090,360,879,326,34.3,-118,Expensive
278000,6.37,30,2180,369,1050,390,34.2,-118,Expensive
230000,4.66,35,779,143,371,150,34.3,-118,Expensive
196000,4.44,39,699,150,358,143,34.3,-118,Expensive
264000,4.45,32,2540,526,1280,493,34.2,-118,Expensive
317000,5.62,29,3390,580,1540,576,34.2,-118,Expensive
177000,3.15,36,1300,304,688,261,34.3,-118,Cheap
293000,4.26,31,6430,1190,3540,1130,34.2,-118,Expensive
229000,6,19,9260,1650,3960,1600,34.2,-118,Expensive
258000,4.13,30,1260,222,638,229,34.2,-118,Expensive
181000,3.27,39,1470,312,1050,284,34.2,-118,Expensive
173000,3.75,42,1070,220,804,226,34.2,-118,Cheap
220000,5.11,34,3260,610,1810,633,34.3,-118,Expensive
216000,6.08,35,1450,274,759,291,34.3,-118,Expensive
177000,3.6,43,1510,310,809,277,34.3,-118,Cheap
186000,4.2,40,1070,214,605,183,34.3,-118,Expensive
190000,4.27,38,2260,460,1120,388,34.3,-118,Expensive
160000,3.06,41,1300,327,733,315,34.3,-118,Cheap
187000,4.13,34,1800,363,948,363,34.3,-118,Expensive
223000,4.49,32,3690,791,1800,715,34.3,-118,Expensive
248000,4.69,30,3210,513,1700,533,34.3,-118,Expensive
230000,3.13,29,3030,732,1780,702,34.3,-118,Expensive
205000,6.2,32,604,108,314,113,34.3,-118,Expensive
315000,5.27,37,1780,301,702,265,34.3,-118,Expensive
354000,6.15,34,2800,460,1270,443,34.3,-118,Expensive
378000,6.84,34,3680,573,1600,568,34.3,-118,Expensive
201000,3.16,28,1640,489,1140,458,34.3,-118,Expensive
197000,4.58,44,1440,285,859,292,34.3,-118,Expensive
239000,5.76,37,1440,246,624,239,34.3,-118,Expensive
217000,3.8,36,1880,453,1010,409,34.3,-118,Expensive
192000,4.44,24,5110,1010,2310,957,34.3,-118,Expensive
166000,4.48,24,4690,820,3570,777,34.3,-118,Cheap
166000,4.79,22,4430,825,3150,836,34.3,-118,Cheap
155000,3.33,16,6570,1480,6160,1470,34.3,-118,Cheap
158000,2.82,8,3250,847,2610,731,34.3,-118,Cheap
148000,3.35,35,1010,204,1160,215,34.3,-118,Cheap
146000,4.3,32,1590,320,1820,306,34.3,-118,Cheap
150000,4.13,29,1270,272,1340,266,34.3,-118,Cheap
147000,3.76,32,2570,531,2610,472,34.3,-118,Cheap
165000,2.67,22,3520,810,3130,847,34.3,-118,Cheap
133000,3.29,35,822,200,1200,203,34.3,-118,Cheap
144000,2.8,34,2000,427,2390,439,34.3,-118,Cheap
134000,1.63,33,1210,341,1100,283,34.3,-118,Cheap
131000,3.32,33,937,216,1220,212,34.3,-118,Cheap
148000,2.67,35,674,153,808,173,34.3,-118,Cheap
143000,3.01,30,1380,308,2050,301,34.3,-118,Cheap
157000,4.24,31,1130,276,1530,269,34.3,-118,Cheap
148000,3.02,36,1000,250,1310,249,34.3,-118,Cheap
148000,3.23,37,1020,246,1370,239,34.3,-118,Cheap
141000,3.51,30,1250,373,1990,369,34.3,-118,Cheap
147000,3.26,37,1270,348,1840,335,34.3,-118,Cheap
140000,3.4,35,777,187,1020,186,34.3,-118,Cheap
141000,2.95,43,729,172,935,174,34.3,-118,Cheap
148000,3.68,37,1550,341,1910,352,34.3,-118,Cheap
143000,2.92,35,1450,335,1630,306,34.3,-118,Cheap
136000,2.11,26,1790,521,2580,484,34.3,-118,Cheap
136000,2.53,38,870,205,1070,222,34.3,-118,Cheap
143000,3.45,36,973,221,1090,218,34.3,-118,Cheap
139000,3.9,37,1790,424,2280,411,34.3,-118,Cheap
138000,2.92,38,858,203,1250,204,34.3,-118,Cheap
124000,1.49,35,2700,702,3440,679,34.3,-118,Cheap
154000,4.25,13,4380,872,2560,853,34.3,-118,Cheap
134000,2.2,13,1870,497,1930,432,34.3,-118,Cheap
138000,1.95,19,280,84,483,87,34.3,-118,Cheap
143000,2.64,33,827,192,981,184,34.3,-118,Cheap
154000,3.6,36,1150,259,1170,272,34.3,-118,Cheap
157000,3.23,18,3450,857,3660,817,34.3,-118,Cheap
164000,2.52,17,2050,548,2240,541,34.2,-118,Cheap
145000,3.63,36,1430,331,1500,312,34.3,-118,Cheap
157000,4.23,34,2660,515,1950,532,34.3,-118,Cheap
236000,5.9,18,5890,920,2880,911,34.3,-118,Expensive
212000,4.17,14,6240,1290,3570,1190,34.3,-118,Expensive
163000,3.96,19,6760,1440,4210,1400,34.3,-118,Cheap
180000,3.65,29,3330,712,2920,718,34.3,-118,Cheap
203000,5.3,18,6570,1110,3470,1070,34.3,-118,Expensive
187000,5.17,28,3190,569,2210,559,34.3,-118,Expensive
156000,4.34,30,3030,604,1970,590,34.3,-118,Cheap
154000,4.03,14,4150,941,3160,915,34.3,-118,Cheap
160000,2.75,22,3180,822,2660,746,34.3,-118,Cheap
156000,3.4,38,1600,314,1180,327,34.3,-118,Cheap
