Median House Price,Median Income,Median Age,Total Rooms,Total Bedrooms,Population,Total Houses,Latitude,Longitude
104000.00,1.25,52.00,1630.00,456.00,1160.00,400.00,37.80,-122.00
87500.00,1.61,52.00,1170.00,235.00,701.00,233.00,37.80,-122.00
83100.00,1.41,52.00,945.00,243.00,576.00,220.00,37.80,-122.00
87500.00,1.51,52.00,1240.00,288.00,622.00,259.00,37.80,-122.00
85300.00,0.82,52.00,1490.00,335.00,728.00,244.00,37.80,-122.00
80300.00,1.22,52.00,1390.00,341.00,1070.00,304.00,37.80,-122.00
60000.00,2.56,2.00,158.00,43.00,94.00,57.00,37.80,-122.00
75700.00,3.39,52.00,1120.00,211.00,554.00,187.00,37.80,-122.00
75000.00,6.12,49.00,135.00,29.00,86.00,23.00,37.80,-122.00
86100.00,0.90,50.00,760.00,190.00,377.00,122.00,37.80,-122.00
76100.00,1.19,52.00,1220.00,237.00,521.00,159.00,37.80,-122.00
73500.00,2.59,48.00,828.00,182.00,392.00,133.00,37.80,-122.00
78400.00,1.17,52.00,1010.00,209.00,604.00,187.00,37.80,-122.00
84400.00,0.81,48.00,1460.00,354.00,788.00,332.00,37.80,-122.00
81300.00,2.61,52.00,1030.00,244.00,492.00,147.00,37.80,-122.00
85000.00,1.85,52.00,572.00,109.00,274.00,82.00,37.80,-122.00
129000.00,0.98,46.00,2800.00,644.00,1820.00,611.00,37.80,-122.00
82500.00,1.77,26.00,768.00,152.00,392.00,127.00,37.80,-122.00
95200.00,0.73,46.00,935.00,297.00,582.00,277.00,37.80,-122.00
75000.00,1.75,49.00,844.00,204.00,560.00,152.00,37.80,-122.00
67500.00,0.50,46.00,12.00,4.00,18.00,7.00,37.80,-122.00
138000.00,2.48,20.00,835.00,161.00,290.00,133.00,37.80,-122.00
178000.00,0.92,17.00,1240.00,462.00,762.00,439.00,37.80,-122.00
102000.00,2.45,36.00,2910.00,562.00,1240.00,509.00,37.80,-122.00
108000.00,1.11,19.00,1210.00,243.00,721.00,207.00,37.80,-122.00
113000.00,0.80,23.00,1750.00,374.00,1050.00,325.00,37.80,-122.00
131000.00,2.01,38.00,684.00,176.00,344.00,155.00,37.80,-122.00
163000.00,1.50,17.00,924.00,289.00,609.00,289.00,37.80,-122.00
113000.00,1.17,52.00,210.00,56.00,183.00,56.00,37.80,-122.00
113000.00,1.52,52.00,340.00,97.00,200.00,87.00,37.80,-122.00
138000.00,0.81,52.00,386.00,164.00,346.00,155.00,37.80,-122.00
119000.00,1.81,35.00,948.00,184.00,467.00,169.00,37.80,-122.00
98200.00,2.41,52.00,773.00,143.00,377.00,115.00,37.80,-122.00
119000.00,0.98,40.00,880.00,451.00,582.00,380.00,37.80,-122.00
163000.00,0.76,10.00,875.00,348.00,546.00,330.00,37.80,-122.00
138000.00,0.97,10.00,105.00,42.00,125.00,39.00,37.80,-122.00
500000.00,1.24,52.00,249.00,78.00,396.00,85.00,37.80,-122.00
163000.00,2.09,16.00,994.00,392.00,800.00,362.00,37.80,-122.00
138000.00,0.87,52.00,215.00,87.00,904.00,88.00,37.80,-122.00
163000.00,0.75,52.00,96.00,31.00,191.00,34.00,37.80,-122.00
188000.00,2.64,27.00,1060.00,347.00,718.00,302.00,37.80,-122.00
179000.00,1.85,39.00,1720.00,623.00,1330.00,467.00,37.80,-122.00
130000.00,2.01,36.00,5330.00,2480.00,3470.00,2320.00,37.80,-122.00
184000.00,2.83,31.00,4600.00,1330.00,2050.00,1180.00,37.80,-122.00
125000.00,2.01,29.00,335.00,107.00,202.00,91.00,37.80,-122.00
170000.00,1.22,22.00,3680.00,1270.00,2020.00,1250.00,37.80,-122.00
193000.00,2.61,37.00,3630.00,1090.00,1840.00,980.00,37.80,-122.00
258000.00,2.49,29.00,4660.00,1410.00,2300.00,1250.00,37.80,-122.00
273000.00,3.22,28.00,5810.00,1600.00,2560.00,1500.00,37.80,-122.00
238000.00,3.13,39.00,854.00,242.00,389.00,228.00,37.80,-122.00
350000.00,2.58,52.00,2160.00,701.00,895.00,613.00,37.80,-122.00
336000.00,2.84,34.00,5870.00,1910.00,2690.00,1790.00,37.80,-122.00
313000.00,4.93,52.00,1510.00,225.00,674.00,244.00,37.80,-122.00
269000.00,3.27,52.00,2030.00,482.00,709.00,456.00,37.80,-122.00
259000.00,3.17,52.00,1760.00,460.00,686.00,422.00,37.80,-122.00
276000.00,3.90,52.00,3480.00,751.00,1440.00,718.00,37.80,-122.00
225000.00,3.91,28.00,3340.00,855.00,1520.00,802.00,37.80,-122.00
263000.00,5.09,52.00,1420.00,289.00,550.00,253.00,37.80,-122.00
219000.00,2.64,32.00,3810.00,1100.00,1810.00,1020.00,37.80,-122.00
255000.00,3.02,26.00,3960.00,1200.00,1750.00,1220.00,37.80,-122.00
224000.00,3.15,52.00,2380.00,559.00,939.00,519.00,37.80,-122.00
243000.00,3.47,35.00,1610.00,428.00,675.00,422.00,37.80,-122.00
232000.00,3.14,52.00,1280.00,287.00,534.00,291.00,37.80,-122.00
219000.00,2.42,28.00,5020.00,1750.00,2560.00,1660.00,37.80,-122.00
234000.00,3.09,52.00,4190.00,1110.00,1790.00,1040.00,37.80,-122.00
328000.00,5.86,50.00,2520.00,399.00,970.00,373.00,37.80,-122.00
348000.00,5.29,47.00,3180.00,454.00,1100.00,485.00,37.80,-122.00
366000.00,5.96,41.00,2580.00,406.00,794.00,376.00,37.80,-122.00
335000.00,4.96,37.00,334.00,54.00,98.00,47.00,37.90,-122.00
374000.00,6.34,52.00,2800.00,411.00,1060.00,403.00,37.90,-122.00
390000.00,5.18,52.00,3530.00,574.00,1180.00,555.00,37.80,-122.00
391000.00,7.24,52.00,2610.00,365.00,901.00,367.00,37.90,-122.00
337000.00,5.46,28.00,5290.00,1050.00,2030.00,956.00,37.90,-122.00
295000.00,7.50,50.00,2940.00,473.00,1030.00,479.00,37.80,-122.00
292000.00,6.02,44.00,3420.00,597.00,1360.00,597.00,37.80,-122.00
412000.00,7.55,40.00,4990.00,674.00,1620.00,654.00,37.80,-122.00
312000.00,6.07,30.00,2210.00,346.00,844.00,343.00,37.80,-122.00
326000.00,7.05,34.00,3040.00,490.00,1140.00,496.00,37.80,-122.00
393000.00,11.60,18.00,1620.00,210.00,533.00,194.00,37.80,-122.00
319000.00,7.49,35.00,2870.00,460.00,1070.00,443.00,37.80,-122.00
333000.00,6.90,34.00,5070.00,788.00,1630.00,766.00,37.80,-122.00
335000.00,8.20,28.00,1330.00,184.00,463.00,190.00,37.80,-122.00
351000.00,8.40,26.00,1590.00,223.00,542.00,211.00,37.80,-122.00
369000.00,6.85,29.00,1790.00,271.00,661.00,269.00,37.80,-122.00
366000.00,8.32,32.00,1840.00,264.00,635.00,263.00,37.80,-122.00
367000.00,7.02,37.00,1230.00,181.00,420.00,176.00,37.80,-122.00
363000.00,6.33,39.00,3770.00,534.00,1270.00,500.00,37.80,-122.00
483000.00,6.36,30.00,292.00,38.00,126.00,52.00,37.80,-122.00
331000.00,7.05,52.00,2380.00,333.00,813.00,350.00,37.80,-122.00
324000.00,6.79,45.00,2960.00,436.00,1070.00,426.00,37.80,-122.00
217000.00,2.89,50.00,2830.00,605.00,1260.00,552.00,37.80,-122.00
233000.00,3.08,38.00,2250.00,535.00,951.00,487.00,37.80,-122.00
296000.00,5.24,52.00,1390.00,212.00,510.00,224.00,37.80,-122.00
274000.00,6.52,52.00,1970.00,335.00,765.00,308.00,37.80,-122.00
228000.00,3.26,52.00,2180.00,465.00,1130.00,460.00,37.80,-122.00
200000.00,3.03,52.00,2290.00,464.00,1070.00,441.00,37.80,-122.00
240000.00,4.54,52.00,2720.00,541.00,1190.00,515.00,37.80,-122.00
270000.00,4.07,52.00,2020.00,339.00,756.00,340.00,37.80,-122.00
302000.00,5.35,52.00,2940.00,536.00,1030.00,521.00,37.80,-122.00
270000.00,3.16,52.00,2030.00,486.00,787.00,459.00,37.80,-122.00
315000.00,4.77,52.00,1430.00,229.00,612.00,213.00,37.80,-122.00
390000.00,8.16,52.00,2930.00,402.00,1020.00,380.00,37.80,-122.00
410000.00,8.88,52.00,2320.00,292.00,861.00,258.00,37.80,-122.00
352000.00,6.86,52.00,2490.00,313.00,953.00,327.00,37.80,-122.00
287000.00,6.03,52.00,1490.00,238.00,634.00,256.00,37.80,-122.00
349000.00,7.51,52.00,2810.00,365.00,878.00,352.00,37.80,-122.00
244000.00,2.75,52.00,2090.00,550.00,918.00,483.00,37.80,-122.00
212000.00,2.19,52.00,888.00,168.00,360.00,175.00,37.80,-122.00
218000.00,3.01,52.00,2090.00,510.00,1200.00,488.00,37.80,-122.00
270000.00,3.67,52.00,2510.00,502.00,1050.00,518.00,37.80,-122.00
219000.00,3.23,46.00,3230.00,835.00,1370.00,747.00,37.80,-122.00
225000.00,2.93,42.00,4120.00,1070.00,1720.00,1020.00,37.80,-122.00
250000.00,2.14,43.00,2360.00,792.00,1360.00,722.00,37.80,-122.00
171000.00,1.61,41.00,1470.00,469.00,1060.00,413.00,37.80,-122.00
194000.00,1.39,29.00,2470.00,864.00,1340.00,773.00,37.80,-122.00
125000.00,2.32,27.00,1630.00,492.00,1170.00,429.00,37.80,-122.00
97500.00,1.78,45.00,1790.00,526.00,1480.00,460.00,37.80,-122.00
125000.00,2.65,50.00,629.00,188.00,742.00,196.00,37.80,-122.00
139000.00,2.18,52.00,1340.00,391.00,1090.00,363.00,37.80,-122.00
117000.00,2.23,36.00,1680.00,606.00,1650.00,543.00,37.80,-122.00
152000.00,1.65,43.00,2340.00,647.00,1710.00,644.00,37.80,-122.00
127000.00,2.27,52.00,996.00,228.00,731.00,228.00,37.80,-122.00
129000.00,2.16,52.00,1590.00,373.00,1120.00,347.00,37.80,-122.00
141000.00,2.13,52.00,1590.00,398.00,1010.00,335.00,37.80,-122.00
183000.00,2.63,47.00,2050.00,588.00,1210.00,554.00,37.80,-122.00
147000.00,2.38,52.00,1190.00,289.00,772.00,257.00,37.80,-122.00
123000.00,2.96,52.00,1800.00,420.00,1320.00,401.00,37.80,-122.00
169000.00,2.52,49.00,2840.00,749.00,1490.00,677.00,37.80,-122.00
127000.00,1.94,52.00,783.00,184.00,488.00,186.00,37.80,-122.00
128000.00,1.90,51.00,1590.00,414.00,949.00,392.00,37.80,-122.00
124000.00,2.25,50.00,1750.00,480.00,1150.00,415.00,37.80,-122.00
112000.00,2.39,52.00,1250.00,299.00,844.00,280.00,37.80,-122.00
113000.00,2.19,43.00,5960.00,1340.00,4370.00,1230.00,37.80,-122.00
108000.00,2.94,52.00,1780.00,395.00,1660.00,412.00,37.80,-122.00
138000.00,1.89,30.00,999.00,264.00,1010.00,263.00,37.80,-122.00
106000.00,2.16,39.00,1470.00,431.00,1460.00,389.00,37.80,-122.00
95500.00,2.13,47.00,1370.00,395.00,1240.00,303.00,37.80,-122.00
116000.00,3.38,52.00,674.00,180.00,647.00,168.00,37.80,-122.00
112000.00,2.25,43.00,1630.00,376.00,1280.00,357.00,37.80,-122.00
75000.00,2.10,51.00,175.00,43.00,228.00,55.00,37.80,-122.00
113000.00,1.60,39.00,461.00,129.00,381.00,123.00,37.80,-122.00
125000.00,3.63,52.00,902.00,237.00,846.00,227.00,37.80,-122.00
115000.00,1.69,20.00,2370.00,779.00,1660.00,676.00,37.80,-122.00
95000.00,1.65,52.00,391.00,128.00,520.00,138.00,37.80,-122.00
96400.00,2.59,52.00,1140.00,301.00,866.00,259.00,37.80,-122.00
72000.00,2.57,52.00,769.00,206.00,612.00,183.00,37.80,-122.00
71300.00,2.64,52.00,472.00,146.00,415.00,126.00,37.80,-122.00
80800.00,3.03,52.00,862.00,215.00,994.00,213.00,37.80,-122.00
129000.00,1.49,50.00,1920.00,530.00,1530.00,477.00,37.80,-122.00
113000.00,1.93,43.00,1420.00,472.00,1510.00,438.00,37.80,-122.00
119000.00,1.48,52.00,986.00,258.00,1010.00,255.00,37.80,-122.00
118000.00,1.60,44.00,2340.00,825.00,2810.00,751.00,37.80,-122.00
123000.00,2.04,48.00,1700.00,396.00,1480.00,343.00,37.80,-122.00
106000.00,2.29,49.00,1180.00,217.00,859.00,219.00,37.80,-122.00
133000.00,2.15,37.00,2340.00,574.00,1610.00,523.00,37.80,-122.00
123000.00,1.62,30.00,610.00,145.00,425.00,140.00,37.80,-122.00
113000.00,1.33,40.00,930.00,199.00,564.00,184.00,37.80,-122.00
110000.00,3.52,44.00,1490.00,314.00,961.00,272.00,37.80,-122.00
165000.00,3.90,52.00,3420.00,690.00,2270.00,685.00,37.80,-122.00
125000.00,3.09,52.00,762.00,190.00,600.00,195.00,37.80,-122.00
125000.00,2.60,46.00,2370.00,575.00,1650.00,527.00,37.80,-122.00
137000.00,2.50,49.00,1830.00,450.00,1200.00,424.00,37.80,-122.00
142000.00,2.80,38.00,3050.00,711.00,2170.00,659.00,37.80,-122.00
150000.00,2.83,29.00,1640.00,376.00,939.00,340.00,37.80,-122.00
139000.00,2.96,47.00,1540.00,307.00,859.00,292.00,37.80,-122.00
139000.00,2.84,34.00,2360.00,557.00,1520.00,516.00,37.80,-122.00
144000.00,2.88,35.00,1750.00,409.00,1140.00,386.00,37.80,-122.00
157000.00,3.07,39.00,2000.00,500.00,1110.00,464.00,37.80,-122.00
151000.00,3.08,39.00,2020.00,447.00,1220.00,446.00,37.80,-122.00
273000.00,4.96,43.00,3050.00,499.00,1120.00,455.00,37.80,-122.00
217000.00,4.77,52.00,1550.00,293.00,706.00,268.00,37.80,-122.00
187000.00,3.49,52.00,3520.00,711.00,1880.00,706.00,37.80,-122.00
240000.00,5.12,41.00,2070.00,354.00,804.00,340.00,37.80,-122.00
230000.00,4.10,48.00,1320.00,263.00,506.00,252.00,37.80,-122.00
257000.00,4.74,48.00,1690.00,259.00,610.00,238.00,37.80,-122.00
247000.00,4.27,46.00,1940.00,341.00,768.00,332.00,37.80,-122.00
180000.00,2.98,50.00,968.00,195.00,462.00,184.00,37.80,-122.00
170000.00,4.17,40.00,1060.00,256.00,667.00,235.00,37.80,-122.00
203000.00,3.85,46.00,2040.00,405.00,1060.00,399.00,37.80,-122.00
263000.00,4.01,52.00,1810.00,271.00,637.00,277.00,37.80,-122.00
232000.00,4.66,45.00,2720.00,451.00,1110.00,454.00,37.80,-122.00
141000.00,2.93,28.00,3140.00,761.00,1740.00,669.00,37.80,-122.00
126000.00,2.30,35.00,1800.00,459.00,1010.00,390.00,37.80,-122.00
122000.00,2.67,49.00,882.00,195.00,737.00,210.00,37.80,-122.00
135000.00,2.62,44.00,1620.00,452.00,1350.00,491.00,37.80,-122.00
139000.00,2.42,45.00,2120.00,533.00,1530.00,474.00,37.80,-122.00
115000.00,2.78,45.00,2020.00,528.00,1410.00,480.00,37.80,-122.00
137000.00,2.74,46.00,2240.00,508.00,1390.00,569.00,37.80,-122.00
137000.00,1.85,52.00,1480.00,300.00,1070.00,269.00,37.80,-122.00
143000.00,2.66,52.00,1060.00,224.00,792.00,245.00,37.80,-122.00
138000.00,3.05,49.00,898.00,244.00,779.00,245.00,37.80,-122.00
112000.00,2.39,44.00,2970.00,710.00,2270.00,610.00,37.80,-122.00
127000.00,1.72,43.00,1700.00,460.00,1230.00,407.00,37.80,-122.00
111000.00,2.63,47.00,881.00,248.00,753.00,241.00,37.80,-122.00
115000.00,2.80,40.00,494.00,114.00,547.00,135.00,37.80,-122.00
102000.00,1.73,50.00,1780.00,473.00,1810.00,440.00,37.80,-122.00
132000.00,2.08,44.00,1680.00,514.00,1700.00,495.00,37.80,-122.00
119000.00,2.49,51.00,1640.00,463.00,1540.00,393.00,37.80,-122.00
80600.00,1.75,52.00,1420.00,314.00,1090.00,300.00,37.80,-122.00
80600.00,4.09,52.00,591.00,173.00,353.00,137.00,37.80,-122.00
88800.00,2.68,52.00,745.00,153.00,473.00,149.00,37.80,-122.00
102000.00,2.43,49.00,2270.00,498.00,1620.00,483.00,37.80,-122.00
98700.00,2.33,46.00,1230.00,375.00,1180.00,354.00,37.80,-122.00
100000.00,2.26,43.00,1020.00,328.00,836.00,277.00,37.80,-122.00
92300.00,1.80,42.00,932.00,254.00,900.00,263.00,37.80,-122.00
94800.00,2.26,39.00,2690.00,597.00,1890.00,537.00,37.80,-122.00
102000.00,2.06,41.00,1550.00,415.00,1020.00,341.00,37.80,-122.00
158000.00,3.54,52.00,2300.00,443.00,1230.00,423.00,37.80,-122.00
122000.00,3.12,39.00,1750.00,399.00,1070.00,376.00,37.80,-122.00
129000.00,2.54,50.00,1870.00,403.00,1130.00,378.00,37.80,-122.00
121000.00,2.90,43.00,2430.00,502.00,1540.00,484.00,37.80,-122.00
103000.00,2.31,44.00,1730.00,414.00,1240.00,393.00,37.80,-122.00
160000.00,2.88,52.00,1030.00,180.00,469.00,168.00,37.80,-122.00
144000.00,3.37,52.00,2170.00,428.00,1090.00,425.00,37.80,-122.00
151000.00,3.51,52.00,2330.00,445.00,1140.00,417.00,37.80,-122.00
164000.00,4.31,52.00,2490.00,415.00,1110.00,375.00,37.80,-122.00
157000.00,3.22,52.00,2200.00,397.00,984.00,369.00,37.80,-122.00
225000.00,3.88,33.00,142.00,31.00,575.00,47.00,37.80,-122.00
174000.00,5.23,49.00,1180.00,205.00,496.00,209.00,37.80,-122.00
167000.00,3.73,52.00,1070.00,193.00,555.00,190.00,37.80,-122.00
164000.00,4.59,45.00,1770.00,332.00,869.00,327.00,37.80,-122.00
253000.00,5.26,39.00,617.00,95.00,236.00,106.00,37.80,-122.00
241000.00,7.09,41.00,1410.00,233.00,626.00,214.00,37.80,-122.00
208000.00,3.97,46.00,2110.00,387.00,922.00,329.00,37.80,-122.00
198000.00,2.95,47.00,1230.00,243.00,582.00,256.00,37.80,-122.00
173000.00,2.67,50.00,954.00,217.00,546.00,201.00,37.80,-122.00
337000.00,5.44,37.00,1640.00,262.00,620.00,266.00,37.80,-122.00
318000.00,6.28,34.00,1360.00,195.00,442.00,195.00,37.80,-122.00
286000.00,6.75,23.00,2320.00,336.00,955.00,328.00,37.80,-122.00
293000.00,7.07,24.00,2460.00,317.00,916.00,324.00,37.80,-122.00
371000.00,5.98,22.00,12800.00,2050.00,4990.00,1970.00,37.80,-122.00
157000.00,3.69,42.00,1520.00,260.00,651.00,267.00,37.80,-122.00
135000.00,2.88,30.00,3330.00,746.00,1700.00,703.00,37.80,-122.00
137000.00,3.42,43.00,1990.00,440.00,1090.00,407.00,37.80,-122.00
161000.00,3.30,50.00,1640.00,322.00,713.00,284.00,37.80,-122.00
141000.00,3.88,49.00,893.00,177.00,468.00,181.00,37.80,-122.00
144000.00,4.17,52.00,653.00,128.00,296.00,121.00,37.80,-122.00
162000.00,4.38,47.00,1260.00,217.00,570.00,218.00,37.80,-122.00
156000.00,4.77,48.00,977.00,194.00,446.00,180.00,37.80,-122.00
176000.00,3.57,45.00,2320.00,397.00,968.00,384.00,37.80,-122.00
146000.00,3.10,39.00,1580.00,349.00,857.00,316.00,37.80,-122.00
142000.00,3.40,39.00,1610.00,342.00,912.00,322.00,37.80,-122.00
90700.00,1.87,31.00,2420.00,533.00,1360.00,452.00,37.80,-122.00
90600.00,1.94,41.00,1590.00,367.00,1070.00,355.00,37.80,-122.00
108000.00,2.18,47.00,2120.00,413.00,965.00,382.00,37.80,-122.00
107000.00,2.29,37.00,1580.00,358.00,933.00,320.00,37.80,-122.00
98200.00,2.43,38.00,1760.00,397.00,987.00,354.00,37.80,-122.00
89500.00,1.95,50.00,1190.00,261.00,907.00,246.00,37.80,-122.00
93800.00,3.91,52.00,754.00,175.00,447.00,165.00,37.80,-122.00
96700.00,1.84,49.00,2310.00,452.00,1300.00,451.00,37.80,-122.00
97500.00,2.08,27.00,909.00,236.00,396.00,157.00,37.80,-122.00
97300.00,2.81,42.00,1180.00,257.00,877.00,268.00,37.80,-122.00
91200.00,1.89,43.00,2020.00,408.00,1110.00,367.00,37.80,-122.00
91400.00,1.71,49.00,1370.00,282.00,790.00,269.00,37.80,-122.00
96200.00,2.28,52.00,2740.00,547.00,1480.00,554.00,37.80,-122.00
120000.00,3.26,51.00,2110.00,471.00,1170.00,438.00,37.80,-122.00
100000.00,2.06,52.00,1750.00,362.00,1030.00,366.00,37.80,-122.00
94700.00,2.47,52.00,2020.00,391.00,1030.00,350.00,37.80,-122.00
85700.00,1.75,47.00,1120.00,259.00,826.00,279.00,37.80,-122.00
89300.00,2.05,41.00,2040.00,510.00,1410.00,454.00,37.80,-122.00
101000.00,2.72,45.00,1850.00,393.00,1130.00,349.00,37.80,-122.00
72500.00,1.21,41.00,921.00,207.00,522.00,159.00,37.80,-122.00
74100.00,1.93,45.00,995.00,238.00,630.00,237.00,37.80,-122.00
70000.00,1.58,36.00,606.00,132.00,531.00,133.00,37.80,-122.00
84600.00,1.41,37.00,2680.00,736.00,1930.00,667.00,37.80,-122.00
81800.00,0.77,38.00,1490.00,370.00,1140.00,351.00,37.80,-122.00
81400.00,1.32,19.00,2210.00,565.00,1480.00,520.00,37.80,-122.00
81800.00,0.80,28.00,856.00,189.00,435.00,162.00,37.80,-122.00
85800.00,1.95,26.00,1290.00,297.00,984.00,303.00,37.80,-122.00
87100.00,1.18,36.00,847.00,212.00,567.00,159.00,37.70,-122.00
83500.00,2.35,42.00,541.00,154.00,380.00,123.00,37.70,-122.00
79700.00,2.15,44.00,1070.00,253.00,825.00,244.00,37.70,-122.00
83400.00,2.51,43.00,707.00,147.00,417.00,155.00,37.70,-122.00
84700.00,1.26,45.00,1530.00,291.00,801.00,287.00,37.70,-122.00
80000.00,2.91,42.00,909.00,215.00,646.00,198.00,37.70,-122.00
76400.00,2.52,43.00,1390.00,293.00,855.00,285.00,37.70,-122.00
79700.00,2.11,44.00,548.00,119.00,435.00,136.00,37.70,-122.00
82400.00,2.46,42.00,4070.00,874.00,2740.00,780.00,37.70,-122.00
97700.00,2.40,41.00,1610.00,445.00,1480.00,414.00,37.70,-122.00
97200.00,2.15,47.00,463.00,134.00,327.00,137.00,37.70,-122.00
102000.00,2.48,43.00,818.00,193.00,494.00,179.00,37.70,-122.00
86500.00,2.16,43.00,1470.00,371.00,1230.00,341.00,37.70,-122.00
90500.00,1.84,35.00,504.00,126.00,323.00,109.00,37.70,-122.00
108000.00,3.03,46.00,1030.00,226.00,749.00,225.00,37.70,-122.00
84200.00,2.25,46.00,769.00,183.00,693.00,178.00,37.70,-122.00
88900.00,2.25,46.00,2100.00,391.00,1340.00,354.00,37.70,-122.00
80700.00,4.05,45.00,330.00,76.00,282.00,80.00,37.80,-122.00
87100.00,1.33,46.00,941.00,218.00,621.00,195.00,37.80,-122.00
85100.00,1.62,38.00,992.00,279.00,732.00,259.00,37.80,-122.00
82000.00,2.17,45.00,990.00,261.00,901.00,260.00,37.80,-122.00
82800.00,1.92,36.00,1130.00,263.00,482.00,150.00,37.80,-122.00
84600.00,2.07,43.00,1040.00,233.00,652.00,213.00,37.80,-122.00
82100.00,1.71,36.00,1050.00,214.00,651.00,166.00,37.80,-122.00
89300.00,2.56,33.00,1280.00,307.00,999.00,286.00,37.80,-122.00
98300.00,1.98,43.00,1590.00,320.00,907.00,306.00,37.80,-122.00
92300.00,2.50,41.00,1260.00,271.00,828.00,230.00,37.80,-122.00
88800.00,2.33,44.00,1220.00,248.00,763.00,254.00,37.80,-122.00
90000.00,1.44,48.00,1750.00,390.00,935.00,349.00,37.80,-122.00
95500.00,2.51,45.00,2300.00,514.00,1440.00,484.00,37.80,-122.00
91700.00,1.56,38.00,2460.00,624.00,1520.00,482.00,37.80,-122.00
100000.00,3.16,47.00,998.00,211.00,597.00,185.00,37.80,-122.00
